我	3297
歌	2745
听	2694
的	2679
。	2473
首	1913
放	1875
想	1531
一	1522
播	1434
唱	1348
要	906
曲	797
小	750
你	729
天	611
，	526
来	498
这	481
给	479
好	346
个	299
乐	285
爱	283
音	282
不	266
杰	259
儿	252
有	201
事	200
周	200
故	195
果	195
之	190
伦	188
大	185
子	181
情	179
会	171
苹	168
气	167
点	167
明	165
人	164
上	160
张	160
是	154
！	149
么	146
王	146
吗	146
妈	146
请	138
吧	135
下	133
花	125
叫	124
海	122
手	121
水	121
年	120
？	119
白	119
心	118
三	117
陈	115
十	113
今	113
宝	110
英	109
只	107
说	107
老	105
星	105
那	104
红	103
帮	101
月	101
新	101
山	99
,	98
文	98
#	97
国	97
声	95
生	95
中	95
了	95
后	93
德	92
o	91
李	91
起	88
青	87
学	87
家	86
样	85
在	85
八	84
最	84
夜	84
钟	84
话	83
林	80
刘	80
相	79
薛	79
谦	79
b	77
雨	76
e	76
讲	76
春	76
光	76
怎	74
华	74
友	74
可	74
梦	72
搜	72
奕	72
迅	72
忘	72
y	71
流	71
风	71
童	70
空	70
女	70
飞	69
快	67
里	67
欢	64
a	63
见	63
能	63
火	63
s	62
没	62
喜	61
就	60
爸	60
路	60
少	60
行	60
t	59
俊	59
摇	59
索	59
五	59
记	57
雪	57
d	57
什	56
经	56
世	56
马	55
日	55
美	55
神	55
过	55
再	55
啊	54
分	54
酒	54
北	54
舞	54
鸡	54
们	53
贝	53
高	53
兔	53
以	53
多	53
语	52
演	52
龙	51
度	51
乖	50
i	50
?	50
p	50
早	49
时	49
《	49
》	49
f	48
黄	48
奇	47
打	47
队	47
原	47
两	46
虎	46
字	46
城	46
东	46
京	46
战	45
杨	45
西	45
毛	44
主	44
为	43
闻	43
郭	42
回	42
燕	42
成	42
许	42
逆	41
浪	41
笑	40
猫	40
六	40
床	40
静	40
弟	40
峰	39
娃	39
都	39
千	39
初	38
南	38
安	38
邓	38
二	38
刚	38
开	38
猪	38
走	38
丑	37
怪	37
睡	37
前	37
九	37
丽	37
七	37
亮	37
篮	36
幸	36
易	36
数	36
信	36
纲	35
修	35
看	35
等	35
去	35
云	35
和	35
如	35
真	35
出	35
草	35
兄	35
古	35
亲	35
知	35
找	34
江	34
鹿	34
炼	34
琴	34
鸟	34
卡	34
河	34
嵩	34
l	33
鸭	33
朋	33
n	33
外	33
菲	32
汪	32
别	32
长	32
魔	31
运	31
册	31
凡	31
娘	31
欧	31
荣	31
闹	31
晗	30
金	30
苏	30
遇	30
思	30
阳	30
0	30
孙	29
超	29
太	29
段	29
沙	29
驼	29
牛	29
到	29
电	28
阿	28
